Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,52.41,53.67,52.39,53.63,4623500,53.43
2012-12-24,53.37,54.00,52.62,52.64,3182300,52.44
2012-12-17,53.51,54.90,52.59,53.60,7768400,53.40
2012-12-10,53.52,54.31,52.80,53.36,7242500,53.16
2012-12-03,52.14,54.00,49.56,53.64,12476100,53.44
2012-11-26,50.85,52.31,49.90,51.87,5433100,51.68
2012-11-19,48.97,51.32,48.95,51.19,4584700,51.00
2012-11-12,50.96,51.36,47.85,48.76,7591700,48.58
2012-11-05,50.80,52.30,50.67,50.96,8574100,50.56
2012-10-31,45.87,51.94,45.00,50.84,16319500,50.44
2012-10-22,45.73,46.87,44.27,45.87,10162900,45.51
2012-10-15,47.47,49.28,45.40,45.69,10204500,45.33
2012-10-08,48.66,49.17,46.62,47.18,9614700,46.81
2012-10-01,50.93,51.30,48.66,48.74,9506600,48.36
2012-09-24,50.90,51.68,49.81,50.71,6522700,50.31
2012-09-17,49.95,51.65,48.99,51.07,8946900,50.67
2012-09-10,51.18,52.00,50.38,50.46,7403600,50.06
2012-09-04,49.45,51.32,49.04,51.17,5679200,50.77
2012-08-27,49.00,50.06,48.75,49.61,6950400,49.22
2012-08-20,48.25,48.78,47.01,48.70,6962700,48.32
2012-08-13,45.74,48.62,45.48,48.22,9680100,47.84
2012-08-06,44.19,45.66,43.46,45.57,9327300,45.21
2012-07-30,47.45,47.73,43.04,43.91,13658200,43.40
2012-07-23,51.13,52.89,46.12,47.47,13172800,46.91
2012-07-16,53.46,54.28,51.54,51.96,6270900,51.35
2012-07-09,51.77,53.69,51.44,53.61,5065700,52.98
2012-07-02,53.44,53.44,51.30,51.97,5029000,51.36
2012-06-25,54.16,54.24,51.25,53.32,6612200,52.70
2012-06-18,52.34,55.97,52.25,54.64,6743900,54.00
2012-06-11,54.15,54.17,51.03,52.54,8840900,51.92
2012-06-04,52.00,54.38,51.49,53.59,8780600,52.96
2012-05-29,54.99,55.85,52.04,52.15,6988200,51.54
2012-05-21,51.71,56.39,51.53,54.56,8535600,53.92
2012-05-14,54.51,54.61,51.43,51.53,8809000,50.93
2012-05-07,55.20,55.81,53.05,55.01,8019300,54.37
2012-04-30,57.43,58.43,55.32,55.56,8050100,54.74
2012-04-23,58.68,61.15,56.47,57.43,13190600,56.58
2012-04-16,61.93,62.00,58.18,59.16,10874800,58.29
2012-04-09,57.27,61.98,56.60,61.67,10990200,60.76
2012-04-02,56.03,58.47,55.96,58.18,6819600,57.32
2012-03-26,55.52,56.55,54.62,55.89,6102100,55.07
2012-03-19,53.03,55.50,52.66,55.35,6773100,54.53
2012-03-12,51.96,53.37,50.94,53.21,8346400,52.43
2012-03-05,48.69,52.47,48.10,51.84,7354200,51.08
2012-02-27,48.13,49.12,47.78,48.89,4146100,48.17
2012-02-21,48.42,48.87,47.87,48.30,3968400,47.59
2012-02-13,49.05,49.27,48.33,48.45,4490200,47.74
2012-02-06,48.12,49.36,47.99,48.82,3912900,48.10
2012-01-30,47.37,48.62,47.25,48.32,6670900,47.44
2012-01-23,48.15,48.49,46.91,47.85,9170600,46.98
2012-01-17,47.94,48.39,47.53,48.15,4859800,47.27
2012-01-09,46.73,47.63,46.27,47.36,4184200,46.50
2012-01-03,46.85,47.04,45.28,46.72,5580800,45.87
2011-12-27,45.40,46.50,45.35,46.01,3331600,45.17
2011-12-19,43.86,45.45,43.31,45.45,4567000,44.62
2011-12-12,43.49,45.00,42.67,43.48,6014400,42.69
2011-12-05,44.25,44.34,42.78,43.96,5111100,43.16
2011-11-28,41.79,44.23,41.35,43.91,5584700,43.11
2011-11-21,41.21,42.45,40.75,40.84,4974700,40.10
2011-11-14,44.05,44.45,41.65,42.02,5489100,41.26
2011-11-07,43.95,44.70,42.66,44.34,7349600,43.36
2011-10-31,42.27,44.69,40.55,44.19,9538700,43.22
2011-10-24,42.21,43.43,40.72,42.50,6237000,41.56
2011-10-17,41.96,42.94,40.65,42.09,6278400,41.16
2011-10-10,39.82,42.22,39.72,42.22,6601700,41.29
2011-10-03,36.85,39.89,35.12,39.26,9820000,38.40
2011-09-26,38.89,40.84,36.95,37.29,8357500,36.47
2011-09-19,38.88,42.00,37.75,38.71,9264600,37.86
2011-09-12,36.69,39.50,36.69,39.20,8057900,38.34
2011-09-06,36.52,39.39,36.42,37.31,8233800,36.49
2011-08-29,37.80,39.28,37.34,37.49,5576900,36.66
2011-08-22,36.00,37.80,34.75,37.39,8085900,36.57
2011-08-15,37.52,39.51,34.14,35.10,11956000,34.33
2011-08-08,36.15,37.57,33.72,37.36,13106600,36.54
2011-08-01,40.44,40.77,35.56,36.72,9442100,35.78
2011-07-25,40.12,40.90,38.90,40.09,9622700,39.07
2011-07-18,39.52,40.72,39.16,40.35,5014600,39.32
2011-07-11,39.98,40.29,38.90,39.80,6095600,38.79
2011-07-05,40.17,41.11,39.43,40.35,7476200,39.32
2011-06-27,37.22,40.26,37.02,40.19,6797700,39.17
